year,site,yield_mg_ha,soilp_h,soilk_ppm,soilp_ppm,om_pct,previous_crop,total_gdd,total_prcp,avg_t2m,gdd_early,gdd_mid,gdd_late,prcp_early,prcp_mid,prcp_late,t2m_s6,t2m_s7,t2m_s8,prev_crop_simple
2017,TXH1,5.268718139,,,,,,2189.19,499.39,24.461125,481.505,886.635,821.05,174.06,166.95,158.38,25.08125,28.0225,28.593125,Other
2019,IAH4,13.8101084,6.3,177.0,42.0,4.5,soybean,1469.84,486.51,20.4686648351648,487.205,657.045,325.59,133.63,127.82,225.06,21.7961538461538,19.9,22.4369230769231,Soybean
2016,ONH2,9.508793842,,,,,soybean,1804.69,242.66,20.067091503268,444.135,983.275,377.28,66.77,113.91,61.98,24.5694117647059,23.67,20.5772222222222,Soybean
2016,NYH1,8.565454282,,,,,,1625.615,462.25,18.0723333333333,528.15,909.25,188.215,66.14,187.55,208.56,21.6938888888889,20.5083333333333,14.5822222222222,Other
2016,MNH1,8.426645202,6.2,188.0,21.0,4.4,soybean,1484.005,778.78,19.2334458333333,460.095,734.25,289.66,177.87,337.1,263.81,22.786,19.14375,18.202,Soybean
2019,DEH1,10.18708411,6.6,125.0,136.0,2.4,soybean,1752.98,411.64,24.3814487179487,398.53,789.33,565.12,129.17,180.77,101.7,28.5091666666667,26.0261538461538,26.4825,Soybean
2017,MIH1,10.92345744,6.6,117.5,22.0,2.7,corn,1430.425,382.35,19.2451083333333,399.53,658.155,372.74,88.93,114.48,178.94,21.494,18.5993333333333,17.2806666666667,Corn
2022,MOH2,4.67493599,7.7,96.0,46.0,2.9,soybean,2103.49,404.13,23.1347095588235,620.97,1004.96,477.56,159.12,172.53,72.48,27.1152941176471,25.294375,23.8605882352941,Soybean
2017,IAH4,8.012292952,6.1,106.0,11.0,4.6,soybean,1788.85,461.56,21.0550367647059,476.78,864.635,447.435,141.47,148.75,171.34,22.57125,21.8747058823529,20.878125,Soybean
2014,NCH1,8.302104235,,,,,wheat/double crop soybean,2162.33,742.03,23.3663786764706,578.34,978.515,605.475,175.84,373.26,192.93,24.736875,24.2682352941176,25.7125,Soybean
2021,NEH1,10.27883348,6.0,172.0,46.0,3.3,soybean,2003.125,458.01,20.9432222222222,579.05,1039.65,384.425,154.77,202.08,101.16,26.6688888888889,23.8333333333333,20.8144444444444,Soybean
2017,DEH1,12.94834244,6.0,120.0,87.0,1.6,corn,1642.535,649.33,22.5398956043956,333.25,801.99,507.295,169.92,238.7,240.71,27.2615384615385,26.1864285714286,23.4023076923077,Corn
2020,OHH1,11.8366746,6.4,187.0,32.0,4.3,soybean,1616.69,369.45,19.3733235294118,616.11,762.945,237.635,84.12,171.99,113.34,23.17875,18.18375,14.520625,Soybean
2019,IAH1,11.3662684,6.3,177.0,54.0,5.3,soybean,1489.915,455.57,18.7947333333333,586.8,721.725,181.39,119.77,162.89,172.91,19.774,22.4406666666667,18.252,Soybean
2018,GAH1,5.273739552,,,,,peanut,2087.23,724.4,24.1856,444.905,920.33,721.995,130.99,345.83,247.58,27.2313333333333,26.8166666666667,26.9493333333333,Peanut
2018,WIH2,12.22149284,6.9,201.0,47.0,3.2,soybean,1444.915,801.62,19.0154458333333,463.045,739.42,242.45,191.53,404.96,205.13,23.9493333333333,20.953125,18.6973333333333,Soybean
2023,NYH3,7.572113376,7.4,50.0,11.0,3.2,soybean,1461.5,513.21,16.9851666666667,442.65,808.13,210.72,163.16,254.32,95.73,20.2233333333333,19.6011111111111,15.44,Soybean
2018,MOH1,9.307817641,6.8,99.0,15.0,2.6,,1923.885,401.73,25.7420384615385,574.36,813.145,536.38,90.38,157.89,153.46,25.0669230769231,26.9107692307692,25.3869230769231,Other
2020,WIH2,13.77163634,6.7,183.0,68.0,4.7,soybean,1359.655,654.25,17.1582794117647,436.535,755.165,167.955,234.25,247.57,172.43,21.3475,20.2652941176471,14.2064705882353,Soybean
2023,NEH3,6.93014192,,,,,wheat,1721.185,333.34,21.8903083333333,510.075,835.94,375.17,137.77,121.81,73.76,26.3673333333333,25.8693333333333,19.9326666666667,Wheat
2022,NYH2,13.70155447,7.9,38.0,13.0,3.7,soybean,1546.13,447.48,17.8378333333333,481.485,843.105,221.54,133.02,235.42,79.04,20.7838888888889,19.6583333333333,13.6866666666667,Soybean
2015,NEH3,6.405845922,6.4,455.0,27.0,2.0,Winter wheat,1637.335,331.19,16.9658888888889,750.67,775.545,111.12,162.98,90.89,77.32,20.2952631578947,14.7166666666667,10.7031578947368,Wheat
2023,GAH1,3.607648589,7.0,134.0,102.0,0.8,corn,1946.95,525.2,24.6797857142857,416.39,822.7,707.86,83.28,277.27,164.65,26.2292857142857,27.2592857142857,27.88,Corn
2018,IAH4,10.30080217,,,,,soybean,1744.95,740.24,20.2076617647059,638.125,847.03,259.795,275.17,297.2,167.87,23.5025,22.285625,19.7964705882353,Soybean
2018,TXH1,9.671242445,,,,,,2243.77,366.77,25.3308161764706,426.47,987.565,829.735,161.32,119.28,86.17,30.049375,29.0325,28.99,Other
2020,DEH1,10.44481348,6.1,117.0,108.0,1.5,soybean,1737.71,536.55,24.1370128205128,396.455,809.835,531.42,68.17,276.11,192.27,28.1438461538462,26.67,24.3892307692308,Soybean
2019,TXH3,9.479754503,8.3,162.0,12.0,1.1,,2171.215,502.03,25.1392416666667,423.05,949.715,798.45,236.15,236.97,28.91,26.8313333333333,27.178125,29.394,Other
2020,MOH1,7.91412174,6.1,100.0,21.0,2.4,soybean,1718.23,475.68,21.9763333333333,605.205,787.655,325.37,172.86,231.72,71.1,24.4042857142857,23.4228571428571,18.375,Soybean
2019,NEH2,11.68304633,6.8,702.0,40.0,2.7,,1622.05,597.89,17.307485380117,521.54,916.555,183.955,352.14,206.28,39.47,21.375,22.2738888888889,15.4177777777778,Other
2022,GAH1,3.447200383,6.2,236.0,137.0,0.9,peanut,2084.73,476.36,25.6017952380952,461.465,921.125,702.14,87.02,201.75,187.59,30.4292857142857,28.0421428571429,27.0514285714286,Peanut
2017,COH1,9.213038461,8.3,404.0,34.0,2.65,sugar beet,1465.365,214.27,16.5964673202614,599.835,701.175,164.355,37.36,115.46,61.45,21.5788888888889,13.42,9.34277777777778,Sugar Beet
2019,NYH1,8.777103204,7.7,65.0,34.0,2.4,soybean,1321.48,544.34,14.0012315789474,614.75,660.06,46.67,194.94,196.41,152.99,17.9068421052632,12.6510526315789,8.98210526315789,Soybean
2016,NCH1,11.09437863,5.5,209.0,138.0,2.3,wheat and Double Crop soybean,2033.94,744.35,23.8577416666667,403.205,906.955,723.78,193.99,293.94,256.42,27.156,27.8173333333333,27.6,Soybean
2018,GAH1,9.555749934,,,,,peanut,2087.23,724.4,24.1856,444.905,920.33,721.995,130.99,345.83,247.58,27.2313333333333,26.8166666666667,26.9493333333333,Peanut
2021,MIH1,11.33019194,7.0,106.0,58.0,2.4,soybean,1653.17,620.43,19.9602316176471,497.08,774.77,381.32,232.06,204.99,183.38,22.554375,23.446875,19.795625,Soybean
2022,GAH1,5.777136258,6.2,236.0,137.0,0.9,peanut,2084.73,476.36,25.6017952380952,461.465,921.125,702.14,87.02,201.75,187.59,30.4292857142857,28.0421428571429,27.0514285714286,Peanut
2018,NYH3,10.09555189,7.7,57.0,23.0,3.6,soybean,1508.92,789.84,14.5571452380952,635.505,833.545,39.87,165.7,422.31,201.83,20.4495238095238,15.615,6.09571428571429,Soybean
2019,WIH1,12.61020784,7.4,322.0,130.0,4.9,soybean,1407.835,778.23,17.7314742647059,384.395,743.185,280.255,226.13,235.68,316.42,21.080625,18.1852941176471,19.6152941176471,Soybean
2020,MOH1,7.921524405,6.1,100.0,21.0,2.4,soybean,1718.23,475.68,21.9763333333333,605.205,787.655,325.37,172.86,231.72,71.1,24.4042857142857,23.4228571428571,18.375,Soybean
2016,IAH3,12.34148362,6.9,274.0,70.0,,soybean,1719.49,653.68,20.2575514705882,359.955,860.18,499.355,139.27,321.0,193.41,24.2417647058824,23.6425,21.0770588235294,Soybean
2018,TXH2,9.786107279,,,,,,2320.14,337.25,29.0047428571429,680.19,954.805,685.145,69.85,87.92,179.48,33.2335714285714,29.4214285714286,30.6971428571429,Other
2020,NEH2,9.431218625,,,,,,1764.65,270.2,21.1032977941176,533.68,884.235,346.735,133.43,108.15,28.62,24.64125,25.46625,17.07375,Other
2019,WIH2,7.906655856,7.1,111.0,40.0,4.5,soybean,1236.275,671.99,14.8886111111111,543.15,643.475,49.65,214.21,321.59,136.19,18.0564705882353,18.7729411764706,8.75352941176471,Soybean
2020,DEH1,10.25768263,6.1,117.0,108.0,1.5,soybean,1737.71,536.55,24.1370128205128,396.455,809.835,531.42,68.17,276.11,192.27,28.1438461538462,26.67,24.3892307692308,Soybean
2021,NYH2,11.8913349,8.0,53.0,8.0,3.1,soybean,1520.435,763.58,17.9649281045752,534.2,760.22,226.015,213.84,300.45,249.29,22.7617647058824,18.0976470588235,15.2111111111111,Soybean
2014,IAH1,10.719521,,,,,soybean,1515.415,669.46,19.3315791666667,514.96,737.51,262.945,258.76,218.53,192.17,21.8225,23.8333333333333,15.9975,Soybean
2021,MNH1,10.74331423,,,,,soybean,1746.23,462.43,20.4410992647059,561.19,851.365,333.675,140.62,253.0,68.81,24.30625,21.22,17.99375,Soybean
2016,ILH1,6.789508334,6.0,120.0,12.0,3.7,soybean,1883.655,631.28,21.3133345588235,404.57,931.255,547.83,180.33,316.45,134.5,25.51625,24.6229411764706,22.488125,Soybean
2017,IAH4,10.47278558,6.1,106.0,11.0,4.6,soybean,1788.85,461.56,21.0550367647059,476.78,864.635,447.435,141.47,148.75,171.34,22.57125,21.8747058823529,20.878125,Soybean
2021,IAH2,11.96916681,5.7,284.0,57.0,4.3,soybean,1904.735,425.59,21.5546433823529,450.16,896.04,558.535,105.11,209.67,110.81,25.0635294117647,24.9325,23.7905882352941,Soybean
2020,NCH1,7.319754922,5.5,182.0,53.0,2.0,wheat/soybean,1779.57,697.28,23.700467032967,356.815,780.375,642.38,200.24,228.94,268.1,26.46,28.0930769230769,27.4584615384615,Soybean
2017,IAH1,10.72762231,6.1,149.0,23.0,4.8,soybean,1902.08,487.73,20.1242456140351,456.24,951.025,494.815,172.94,159.46,155.33,22.4922222222222,22.3155555555556,20.4694736842105,Soybean
2020,DEH1,8.664720691,6.1,117.0,108.0,1.5,soybean,1737.71,536.55,24.1370128205128,396.455,809.835,531.42,68.17,276.11,192.27,28.1438461538462,26.67,24.3892307692308,Soybean
2016,KSH1,6.034981425,,,,,wheat,2043.095,721.91,22.7485955882353,378.67,1018.49,645.935,273.88,263.0,185.03,28.2670588235294,26.273125,24.8105882352941,Wheat
2018,DEH1,4.7715982,,,,,corn,1921.105,690.46,23.7707857142857,440.675,825.95,654.48,275.27,225.11,190.08,24.96,25.8385714285714,25.9242857142857,Corn
2017,IAH3,12.63764248,6.5,102.0,23.0,3.7,soybean,1785.645,469.65,19.6875424836601,415.845,880.23,489.57,165.9,176.92,126.83,22.6476470588235,21.4772222222222,19.7527777777778,Soybean
2020,MOH1,7.256045904,6.1,100.0,21.0,2.4,soybean,1718.23,475.68,21.9763333333333,605.205,787.655,325.37,172.86,231.72,71.1,24.4042857142857,23.4228571428571,18.375,Soybean
2020,INH1,17.2813459,6.6,105.0,15.0,2.9,soybean,1650.835,392.42,21.6063047619048,427.01,763.11,460.715,134.72,205.15,52.55,22.5292857142857,22.9571428571429,24.2714285714286,Soybean
2018,MIH1,10.11249916,6.1,147.0,21.0,2.9,soybean,1452.935,497.7,16.880839869281,568.66,777.405,106.87,110.46,222.84,164.4,21.5723529411765,19.1517647058824,13.6,Soybean
2018,DEH1,8.697715898,,,,,corn,1921.105,690.46,23.7707857142857,440.675,825.95,654.48,275.27,225.11,190.08,24.96,25.8385714285714,25.9242857142857,Corn
2021,DEH1,6.284299024,6.1,115.0,103.0,1.0,soybean,1891.885,504.73,23.132219047619,393.575,834.16,664.15,114.83,214.93,174.97,26.3286666666667,24.9035714285714,26.3646666666667,Soybean
2018,TXH1,8.737259529,,,,,,2243.77,366.77,25.3308161764706,426.47,987.565,829.735,161.32,119.28,86.17,30.049375,29.0325,28.99,Other
2017,COH1,6.279905287,8.3,404.0,34.0,2.65,sugar beet,1465.365,214.27,16.5964673202614,599.835,701.175,164.355,37.36,115.46,61.45,21.5788888888889,13.42,9.34277777777778,Sugar Beet
2019,NYH2,11.74781506,7.8,75.0,10.0,3.6,soybean,1396.565,582.62,14.2334904761905,590.29,747.63,58.645,218.29,209.43,154.9,17.7095,14.9805,9.8935,Soybean
2021,ILH1,7.267240721,,,,,,1816.49,617.04,21.3224958333333,417.365,808.195,590.93,169.96,323.63,123.45,24.08875,22.89,25.135625,Other
2017,NYH1,7.721678644,8.0,57.0,19.0,3.2,soybean,1407.225,622.79,16.0413362573099,491.01,736.12,180.095,237.09,175.53,210.17,16.1027777777778,19.9152631578947,15.5605555555556,Soybean
2019,MNH1,10.28658085,6.3,262.0,69.0,5.2,soybean,1255.995,655.33,15.0716470588235,568.945,628.445,58.605,263.48,245.81,146.04,17.9317647058824,18.0535294117647,8.90411764705882,Soybean
2021,NCH1,8.611096515,6.15,87.5,62.5,1.2,peanut,2089.41,691.18,23.4574875,451.675,935.05,702.685,150.29,397.8,143.09,26.1346666666667,25.423125,26.7913333333333,Peanut
2022,IAH4,10.33720741,5.9,297.0,77.0,4.8,soybean,1732.935,372.72,20.8942916666667,536.49,872.82,323.625,196.03,119.9,56.79,23.5726666666667,23.680625,20.1473333333333,Soybean
2017,IAH3,13.94509303,6.5,102.0,23.0,3.7,soybean,1785.645,469.65,19.6875424836601,415.845,880.23,489.57,165.9,176.92,126.83,22.6476470588235,21.4772222222222,19.7527777777778,Soybean
2018,WIH2,5.948491994,6.9,201.0,47.0,3.2,soybean,1444.915,801.62,19.0154458333333,463.045,739.42,242.45,191.53,404.96,205.13,23.9493333333333,20.953125,18.6973333333333,Soybean
2016,OHH1,5.50252521,5.4,165.0,28.0,3.7,soybean,1734.37,307.22,22.5010666666667,502.29,816.365,415.715,85.64,136.08,85.5,25.3807142857143,23.84,22.5457142857143,Soybean
2018,TXH2,8.666332063,,,,,,2320.14,337.25,29.0047428571429,680.19,954.805,685.145,69.85,87.92,179.48,33.2335714285714,29.4214285714286,30.6971428571429,Other
2021,ILH1,11.22034852,,,,,,1816.49,617.04,21.3224958333333,417.365,808.195,590.93,169.96,323.63,123.45,24.08875,22.89,25.135625,Other
2014,IAH2,10.04682337,,,,,soybean,1465.195,784.13,18.4982242647059,502.815,718.875,243.505,296.35,320.7,167.08,20.945625,20.7564705882353,14.8225,Soybean
2021,NYH2,9.958090692,8.0,53.0,8.0,3.1,soybean,1520.435,763.58,17.9649281045752,534.2,760.22,226.015,213.84,300.45,249.29,22.7617647058824,18.0976470588235,15.2111111111111,Soybean
2019,NEH1,9.343060387,6.5,585.0,24.0,2.2,soybean,1744.425,642.66,18.2257807017544,597.795,940.105,206.525,297.77,219.06,125.83,21.4344444444444,23.4083333333333,17.2572222222222,Soybean
2014,DEH1,11.66710644,,,,,soybean,1825.78,411.78,22.5321619047619,441.325,821.88,562.575,122.79,192.05,96.94,24.2013333333333,23.5271428571429,23.464,Soybean
2022,MIH1,12.07901023,6.4,110.0,34.0,2.0,soybean,1501.46,407.59,18.2134080882353,479.72,766.41,255.33,135.59,190.77,81.23,20.5623529411765,20.47125,15.8258823529412,Soybean
2020,TXH3,8.842629364,7.9,340.0,29.0,2.0,,1914.54,386.75,26.1671474358974,450.015,794.865,669.66,132.56,197.02,57.17,28.0391666666667,27.1146153846154,29.9684615384615,Other
2019,NYH1,9.184056464,7.7,65.0,34.0,2.4,soybean,1321.48,544.34,14.0012315789474,614.75,660.06,46.67,194.94,196.41,152.99,17.9068421052632,12.6510526315789,8.98210526315789,Soybean
2023,TXH3,7.48600435,8.1,442.0,36.0,2.4,Sorghum,1959.42,301.85,28.0104807692308,438.915,825.155,695.35,226.04,74.76,1.05,31.0233333333333,30.9523076923077,33.7341666666667,Sorghum
2015,NYH3,6.615471156,7.8,49.0,21.0,2.4,Fallow most of 2014 winter planted in fall of 2014 then sprayed with Glystar 24 floz/a on 5/3/15  and killed spring of 2015 spray,1408.705,588.75,16.8255,485.315,774.4,148.99,268.52,143.64,176.59,21.1627777777778,18.4427777777778,12.7883333333333,Fallow
2017,IAH2,13.05567516,6.2,99.0,26.0,3.9,soybean,1759.1,588.37,19.3471307189542,511.34,882.44,365.32,172.0,198.93,217.44,21.4835294117647,19.5011111111111,22.0433333333333,Soybean
2017,COH1,10.19346945,8.3,404.0,34.0,2.65,sugar beet,1465.365,214.27,16.5964673202614,599.835,701.175,164.355,37.36,115.46,61.45,21.5788888888889,13.42,9.34277777777778,Sugar Beet
2019,WIH1,11.77792433,7.4,322.0,130.0,4.9,soybean,1407.835,778.23,17.7314742647059,384.395,743.185,280.255,226.13,235.68,316.42,21.080625,18.1852941176471,19.6152941176471,Soybean
2014,IAH1,10.11319584,,,,,soybean,1515.415,669.46,19.3315791666667,514.96,737.51,262.945,258.76,218.53,192.17,21.8225,23.8333333333333,15.9975,Soybean
2018,NCH1,7.795744494,5.6,141.0,56.0,1.3,,2127.13,913.7,25.4400904761905,593.7,888.935,644.495,190.2,376.73,346.77,25.8371428571429,26.2721428571429,25.2414285714286,Other
2021,SCH1,3.721495097,6.25,112.3,103.1,2.76,soybean,2309.175,706.06,23.2062026143791,496.955,1076.08,736.14,130.7,290.07,285.29,26.7164705882353,26.8088888888889,26.5872222222222,Soybean
2017,IAH1,10.80106049,6.1,149.0,23.0,4.8,soybean,1902.08,487.73,20.1242456140351,456.24,951.025,494.815,172.94,159.46,155.33,22.4922222222222,22.3155555555556,20.4694736842105,Soybean
2016,TXH1,5.52031227,7.9,341.0,43.0,,corn,2027.265,788.36,23.4158125,397.45,831.56,798.255,283.11,451.5,53.75,24.386,26.514,27.673125,Corn
2015,OHH1,10.12864015,,,,,soybean,1564.655,418.76,20.2932666666667,473.605,704.79,386.26,216.44,156.87,45.45,21.816,21.1633333333333,21.222,Soybean
2015,MOH2,6.291500415,7.1,93.5,38.5,1.8,soybean,1872.315,637.01,22.6405666666667,476.23,863.025,533.06,278.56,311.66,46.79,25.8953333333333,24.784,21.9873333333333,Soybean
2021,IAH4,12.75627338,5.9,239.0,52.0,3.0,soybean,2015.555,490.76,20.4289473684211,549.255,1056.04,410.26,120.52,214.41,155.83,24.7321052631579,23.9136842105263,20.1278947368421,Soybean
2017,MNH1,8.827017296,7.4,130.0,20.0,7.1,,1434.12,597.04,17.8865098039216,416.255,705.815,312.05,193.36,212.56,191.12,19.5152941176471,17.9352941176471,20.2352941176471,Other
2015,NEH1,5.702585986,,,,,,1624.265,476.75,19.3907389705882,621.285,774.92,228.06,203.07,208.88,64.8,22.836875,19.80625,14.383125,Other
2017,ILH1,10.52990416,5.9,137.0,27.0,3.2,,1917.37,544.04,21.097931372549,447.49,923.7,546.18,244.5,180.9,118.64,23.26,23.4916666666667,19.4447058823529,Other
2015,NYH1,5.384983748,,,,,,,,,,,,,,,,,,Other
2022,INH1,9.19609119,6.9,160.0,23.0,3.6,corn,1719.02,348.05,21.9506333333333,461.71,796.58,460.73,104.46,151.21,92.38,25.1986666666667,22.9464285714286,23.4773333333333,Corn
2018,INH1,10.04659311,6.9,146.0,27.0,2.9,soybean,1705.44,487.01,22.7726868131868,461.94,721.365,522.135,123.95,195.73,167.33,23.08,23.2392307692308,23.295,Soybean
2022,DEH1,11.29441437,6.6,136.0,75.0,1.2,soybean,1955.325,393.8,23.394,384.24,904.94,666.145,121.3,173.15,99.35,27.0173333333333,28.0166666666667,25.7993333333333,Soybean
2023,MIH1,8.926943055,6.6,135.0,67.0,2.6,soybean,1442.785,453.63,17.1167745098039,531.05,724.125,187.61,115.05,191.28,147.3,21.1176470588235,16.9027777777778,15.0882352941176,Soybean
