site,year,latitude,longitude,previous_crop
DEH1,2020,38.630059,-75.466066,soybean
GAH1,2020,31.508254,-83.559249,peanut
GAH2,2020,33.723144,-83.303353,soybean
GEH1,2020,51.494772,9.923347,wheat
IAH1,2020,41.19863411,-91.48738002,soybean
INH1,2020,40.478355,-86.990133,soybean
MIH1,2020,42.708226,-84.46955,soybean
MNH1,2020,44.06857957,-93.53302313,soybean
MOH1,2020,38.89847,-92.20674,soybean
MOH1,2020,38.89505,-92.20753,soybean
NCH1,2020,35.30019852,-77.57024056,wheat/soybean
NEH1,2020,40.85194,-96.61667,soybean/pumpkin
NYH2,2020,42.731967,-76.649715,soybean
NYH3,2020,42.731936,-76.651002,soybean
NYS1,2020,42.73192,-76.651739,soybean
OHH1,2020,39.856658,-83.673847,soybean
SCH1,2020,34.621912,-82.737416,soybean
TXH1,2020,30.537182,-96.428085,NA
TXH2,2020,30.537623,-96.427673,NA
TXH3,2020,30.538091,-96.427156,NA
WIH1,2020,43.0568242,-89.528261,soybean
WIH2,2020,43.294275,-89.384175,soybean
WIH3,2020,44.115206,-89.545233,NA
COH1,2021,40.6476,-104.9957,wheat
DEH1,2021,38.635,-75.458,soybean
GAH1,2021,31.508254,-83.559249,corn
GAH2,2021,33.7147791,-83.3100044,soybean
GEH1,2021,51.470534,9.926148,2019/20 wheat
IAH1,2021,41.19959334,-91.4951509,soybean
IAH2,2021,42.06455628,-94.7211393,soybean
IAH3,2021,41.97559974,-92.2413595,soybean
IAH4,2021,41.99856485,-93.695864,soybean
INH1,2021,40.476658,-86.998063,soybean
MIH1,2021,42.707408,-84.469519,soybean
MNH1,2021,44.070958,-93.533411,soybean
NCH1,2021,36.12860022,-77.17707758,peanut
NEH1,2021,40.86124999,-96.59643669,soybean
NEH2,2021,41.0538996,-100.7493277,Winter wheat
NEH3,2021,41.0899758,-100.7800172,NA
NYH2,2021,42.732955,-76.65655,soybean
NYH3,2021,42.733032,-76.655673,soybean
NYS1,2021,42.73384,-76.65443,soybean
SCH1,2021,34.622998,-82.737131,soybean
TXH1,2021,30.53774915,-96.42757069,corn
TXH2,2021,30.53724828,-96.42813145,corn
TXH3,2021,30.53820977,-96.42708262,corn
WIH1,2021,43.05714,-89.52965,soybean
WIH2,2021,43.319604,-89.332737,soybean
WIH3,2021,44.11493,-89.5431,corn
COH1,2022,40.653144,-104.995348,Fallow
DEH1,2022,38.638,-75.459,soybean
GAH1,2022,31.50634,-83.55874,peanut
GAH2,2022,33.726652,-83.30523,soybeans with fall cereal rye cover
GEH1,2022,51.513502,9.887905,NA
IAH1,2022,41.19862525,-91.48696744,soybean
IAH2,2022,42.06620464,-94.72927302,soybean
IAH3,2022,41.98804458,-92.25977761,soybean
IAH4,2022,41.994476,-93.68862568,soybean
ILH1,2022,40.082185,-88.232195,soybean
INH1,2022,40.482132,-87.003193,corn
MIH1,2022,42.708211,-84.469542,soybean
MNH1,2022,44.069598,-93.529888,soybean
MOH2,2022,38.928631,-92.354136,soybean
NCH1,2022,36.13137,-77.1799,peanut
NEH1,2022,40.85936,-96.59836,soybean
NEH2,2022,41.049002,-100.753058,wheat
NEH3,2022,41.08885,-100.77516,sorghum
NYH2,2022,42.73285,-76.649862,soybean
NYH3,2022,42.732874,-76.650565,soybean
OHH1,2022,39.8567,-83.67373,soybean
SCH1,2022,34.622035,-82.736852,corn
TXH1,2022,30.53759722,-96.42769722,corn
TXH2,2022,30.5372,-96.42814552,corn
TXH3,2022,30.53803333,-96.42719167,corn
WIH1,2022,43.058419,-89.531286,soybean
WIH2,2022,43.29417285,-89.38669993,soybean
WIH3,2022,44.11927723,-89.55738345,NA
COH1,2023,40.6516,-104.9932,Winter Wheat
DEH1,2023,38.63,-75.466,soybean
GAH1,2023,31.50821,-83.55918,corn
GAH2,2023,33.72444,-83.3040667,cereal rye
IAH1,2023,41.20031813,-91.49516708,soybean
IAH2,2023,42.06455642,-94.72070638,soybean
IAH3,2023,41.97586506,-92.24135405,soybean
IAH4,2023,41.99857224,-93.69585322,soybean
ILH1,2023,40.087369,-88.226963,soybean
INH1,2023,40.4766448,-86.9987006,soybean
MIH1,2023,42.707457,-84.469508,soybean
MNH1,2023,44.06856754,-93.53273125,soybean
MOH1,2023,38.89855297,-92.20998995,soybean
MOH2,2023,38.92891073,-92.35306354,soybean
NCH1,2023,35.667324,-78.492989,wheat
NEH1,2023,40.8613,-96.596201,soybean
NEH3,2023,41.056578,-100.752334,wheat
NYH2,2023,42.732946,-76.6564892,soybean
NYH3,2023,42.7330187,-76.6555248,soybean
OHH1,2023,39.855978,-83.674355,soybean
SCH1,2023,34.62238,-82.7377,Soybeans
TXH1,2023,30.5494533,-96.43237879,Sorghum
TXH2,2023,30.54967586,-96.43264476,Sorghum
TXH3,2023,30.54905331,-96.43191995,Sorghum
WIH1,2023,43.05719875,-89.529618,soybean
WIH2,2023,43.3045162,-89.38508,soybean
WIH3,2023,44.1150208,-89.544413,NA
